Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,toString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,ShoppingCart,toString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,ShoppingCartItem,toString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,PromoService,PromoService,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,PromoService,applyShippingPromotions,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.service,ShippingService,calculateShipping,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
